[ 2026-03-04 18:00:58,162 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-04 18:01:22,704 ] 77 root - INFO - Performed train test split on the dataframe
[ 2026-03-04 18:01:22,704 ] 79 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-04 18:01:22,704 ] 87 root - INFO - Exporting train and test file path.
[ 2026-03-04 18:01:22,751 ] 96 root - INFO - Exported train and test file path.
[ 2026-03-04 18:01:22,751 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-04 18:01:22,751 ] 28 root - INFO - Initiate the data Validation
[ 2026-03-04 18:01:22,789 ] 32 root - INFO - Required number of columns:2
[ 2026-03-04 18:01:22,789 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-04 18:01:22,789 ] 32 root - INFO - Required number of columns:2
[ 2026-03-04 18:01:22,789 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-04 18:01:22,925 ] 30 root - INFO - data Validation Completed
[ 2026-03-04 18:01:22,925 ] 34 root - INFO - data Transformation started
[ 2026-03-04 18:01:22,925 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-04 18:01:22,925 ] 66 root - INFO - Starting data transformation
[ 2026-03-04 18:01:22,957 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-04 18:01:22,957 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-04 18:01:22,965 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-04 18:01:22,973 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-04 18:01:22,973 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-04 18:01:22,973 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-04 18:01:22,973 ] 38 root - INFO - data Transformation completed
